browser position chr4:89280601-89314973
browser hide all
browser pack refGene encodeRegions
browser full altGraph
#  300 base wide bar graph, ausoScale is on by default == graphing
#  limits will dynamically change to always show full range of data
#  in veiwing window, priority = 20 position this as the second graph
#  Note, zero-relative, halp-open coordinate system in use for bedGraph format
track type=bedGraph name='Gm28111 (1X)' description='15-50' visibility=full color=200,100,0 altColor=0,100,200 priority=20
chr4	89280601	89282032	0
chr4	89282032	89282034	1
chr4	89282034	89282051	2
chr4	89282051	89282069	4
chr4	89282069	89282071	5
chr4	89282071	89282107	6
chr4	89282107	89282130	5
chr4	89282130	89282135	4
chr4	89282135	89282143	3
chr4	89282143	89282149	2
chr4	89282149	89282154	1
chr4	89282154	89284907	0
chr4	89284907	89284908	1
chr4	89284908	89285004	2
chr4	89285004	89285012	3
chr4	89285012	89285014	2
chr4	89285014	89285047	1
chr4	89285047	89285052	2
chr4	89285052	89285093	3
chr4	89285093	89285097	4
chr4	89285097	89285099	6
chr4	89285099	89285104	7
chr4	89285104	89285106	8
chr4	89285106	89285139	7
chr4	89285139	89285143	8
chr4	89285143	89285145	10
chr4	89285145	89285152	11
chr4	89285152	89285185	10
chr4	89285185	89285189	11
chr4	89285189	89285190	13
chr4	89285190	89285191	12
chr4	89285191	89285198	13
chr4	89285198	89285213	11
chr4	89285213	89285231	10
chr4	89285231	89285235	11
chr4	89285235	89285236	12
chr4	89285236	89285244	11
chr4	89285244	89285250	9
chr4	89285250	89285254	10
chr4	89285254	89285258	11
chr4	89285258	89285259	12
chr4	89285259	89285279	11
chr4	89285279	89285280	12
chr4	89285280	89285281	13
chr4	89285281	89285282	16
chr4	89285282	89285288	15
chr4	89285288	89285290	16
chr4	89285290	89285298	14
chr4	89285298	89285300	15
chr4	89285300	89285304	16
chr4	89285304	89285305	17
chr4	89285305	89285321	16
chr4	89285321	89285334	15
chr4	89285334	89285346	14
chr4	89285346	89285350	12
chr4	89285350	89285357	13
chr4	89285357	89285363	10
chr4	89285363	89285364	9
chr4	89285364	89285368	8
chr4	89285368	89285378	7
